index,data_type,data_name,count,label,probability
31770,address,DXC,2,1179,0.7684698871741437
31771,uint256,created_at,4,-1,0.0
31772,address,commissionContract,2,580,0.8652679138317403
31773,mapping_type_static,teamMap,2,980,0.33139450774191265
31774,bool,refundableSoftCap,4,-1,0.0
31775,mapping_type_static,votings,3,-1,0.0
31776,uint256,lastWithdrawalTimestamp,2,-1,0.0
31777,address,ColonyNetwork,3,-1,0.0
31778,mapping_type_static,NonRewardPotsTotal,2,236,0.8551348627853834
31779,uint256,RewardInverse,2,-1,0.0
31780,uint8,MintMoreTokens,2,19,1.0
31781,uint256,b0,3,1195,0.533526560281421
31782,uint256,b1,3,-1,0.0
31783,address,quoteSigner,1,651,0.49871287435472733
31784,address,addressOfToken,1,464,0.7112928095198121
31785,uint256,minimalUSD,3,-1,0.0
31786,uint256,TOKEN_CAP,2,239,0.9261247864320244
31787,user_define_contract,dc,1,-1,0.0
31788,uint256,fetch,1,-1,0.0
31789,uint8,crowdSaleStatus,1,151,0.7070281209499263
31790,uint256,isCrowdSaleClosed,1,151,0.6137462928487998
31791,address,NewVersion,1,718,0.9336402596524745
31792,uint8,unsoldTokenIssued,4,620,1.0
31793,mapping_type_static,adminAddress,1,773,0.867603827736341
31794,address,tokenVault,2,55,1.0
31795,uint256,swapFactor,1,93,1.0
31796,bool,isSettled,3,326,0.30793564860641576
31797,user_define_contract,agent,3,614,1.0
31798,address,allocation,2,382,1.0
31799,address,authorizer,1,-1,0.0
31800,string,Email,1,903,0.18244802036602195
31801,string,Birthday,1,-1,0.0
31802,string,FullName,1,893,1.0
31803,string,Location,1,974,1.0
31804,string,Telegram,1,-1,0.0
31805,mapping_type_static,ClaimableTokens,1,220,1.0
31806,uint256,bonus5,8,276,0.327048904948131
31807,array_type_static,cooAddress,4,1154,1.0
31808,address,BAEFeeAddress,8,-1,0.0
31809,mapping_type_static,holderAddresses,3,144,0.25575000698450734
31810,uint8,ico_percent,1,264,0.7908546581353982
31811,uint256,ico_price,1,244,0.7312983185173633
31812,uint8,mint,4,19,1.0
31813,uint256,_saleStartTime,4,1071,1.0
31814,bool,buyTokens,2,486,0.8635494960109387
31815,uint256,_totalTokenBalance,4,213,0.1443637193788947
31816,address,_sale,3,1095,0.9487129379613519
31817,uint256,_totalAddresses,3,1180,1.0
31818,uint256,latitude,2,974,1.0
31819,bool,canSetWhiteList,1,85,0.4663373821695204
31820,address,paymentModule,1,1038,0.8683515389810701
31821,address,votingFactory,1,-1,0.0
31822,array_type_dynamic,whiteListArr,1,85,0.6485982790579302
31823,array_type_dynamic,Deal,1,952,0.5530003964556897
31824,uint256,nextRewardDate,1,236,1.0
31825,uint8,activeState,2,920,0.28217673280337563
31826,user_define_contract,escrowStorage,2,12,0.3833521266561195
31827,uint256,resolveTime,1,1172,1.0
31828,bool,activeState,1,920,0.28217673280337563
31829,address,xTokenAddress,1,464,1.0
31830,address,hunter,4,-1,0.0
31831,uint256,withdrawalSum,1,278,0.9497471196343419
31832,mapping_type_static,isWalletRegistered,1,479,0.9906551292922603
31833,uint8,autoTokenSent,3,583,1.0
31834,uint256,countDays,5,1153,0.9124745059051114
31835,uint128,ICOAmount,4,-1,0.0
31836,uint128,ICOReward,4,142,1.0
31837,array_type_dynamic,Warriors,2,-1,0.0
31838,array_type_dynamic,Identity,2,-1,0.0
31839,bool,isAdminValid,3,777,1.0
31840,address,revokeAccess,2,829,0.1612537168421483
31841,address,_token_address,1,-1,0.0
31842,mapping_type_static,accountBalance,1,507,1.0
31843,uint256,maxHolders,1,144,1.0
31844,mapping_type_static,invited,2,30,0.13928326517636114
31845,address,president,1,1008,1.0
31846,uint256,_totalAvailable,2,-1,0.0
31847,mapping_type_static,NodeIndexId,1,223,0.17164919141027857
31848,uint8,currentIcoRound,3,75,0.4003832255835239
31849,uint8,presaleActive,1,-1,0.0
31850,user_define_contract,baseContract,13,361,0.17319037806150045
31851,array_type_dynamic,tiers,2,45,1.0
31852,mapping_type_dynamic,publicKeys,3,628,1.0
31853,uint256,stockResult,7,397,0.9864470429528248
31854,user_define_contract,ChainlinkToken,16,455,1.0
31855,address,HotWallet,2,-1,0.0
31856,string,Commitment,1,-1,0.0
31857,uint256,endBlockNum,1,-1,0.0
31858,bool,preMine,2,885,0.2616240469571225
31859,uint256,mine,1,-1,0.0
31860,bool,depositsHalted,2,-1,0.0
31861,uint256,Denominator,2,787,1.0
31862,mapping_type_static,isSystemAccount,3,-1,0.0
31863,address,builder,1,834,0.8699727590352235
31864,mapping_type_static,InvestorByValue,1,422,0.5114414298437384
