address,has_struct_data,has_for_loops,elipmoc
0xbe87786b9015c92206ca9650b0512b0d59acb829,False,False,1
0xbd7fc248074ad74408bc3ff5f3af34d0ed483fea,True,True,1
0xb80fcbbaea6d938c4ba7c1a943429591fbfc39fa,False,False,1
0x8664b37382b552ec019bb9ae833f9b4fae02b73d,,,1
0x07da4c5260c678a3acb554bd295b98d313f5502d,False,False,1
0x2d319a98f0c62fbed613d06350b17efcfcb4ca9b,True,True,1
0xa05fef8806f83a732df491235f195355a004a1dc,False,False,1
0x4275e7dd852e732838456338d6cbf508e85652d4,False,False,1
0xa458f400e5fb141e13b33acd48056135fbb629b9,True,True,1
0x653cf3963117212821323d621317526bc452eabe,,,1
0xecb168408adebd5383944c082853128bc7925773,False,False,1
0x09d64696422ec2fd0f9a597cc294cb878e44aedd,True,True,1
0x30115ccf6d77f71a577e98ce2732d462f1464959,False,False,1
0x929a2a7acfaf5342ca3b894f83a823a7e333b851,False,False,1
