index,data_type,data_name,count,label,probability
5289,uint64,nextCommonTTMTokenId2,2,-1,0.0
5290,uint64,nextDiscountTTWTokenId1,2,-1,0.0
5291,uint64,endDiscountTime,2,-1,0.0
5292,uint64,nextDiscountTTMTokenId1,2,-1,0.0
5293,uint64,nextCommonTTWTokenId2,2,-1,0.0
5294,uint64,nextDiscountTTMTokenId6,2,-1,0.0
5295,uint192,,11,-1,0.0
5296,uint256,currentTokenOfferingRaised,3,-1,0.0
5297,address,ownerCtuContract,2,-1,0.0
5298,address,neironixProfitAddress,1,916,1.0
5299,uint256,tokenRate,28,427,0.21187055214347586
5300,address,marketingProfitAddress,1,916,0.9168686904072987
5301,address,lawSupportProfitAddress,1,916,1.0
5302,address,hostingProfitAddress,1,916,1.0
5303,address,teamProfitAddress,1,916,0.2823708685255153
5304,address,contractorsProfitAddress,1,916,0.7331569584090812
5305,address,saasApiProfitAddress,1,916,1.0
5306,address,holdAddress3,1,990,1.0
5307,address,holdAddress2,1,990,1.0
5308,address,holdAddress5,1,990,1.0
5309,address,holdAddress1,1,990,1.0
5310,address,holdAddress4,1,990,1.0
5311,address,mintHelper,1,843,1.0
5312,user_define_contract,miningLeader,2,-1,0.0
5313,bool,fused,4,1122,0.706659442198536
5314,mapping_type_dynamic,marks,3,-1,0.0
5315,uint256,nextEndTime,1,783,0.8309289600010037
5316,uint256,numPolls,1,611,1.0
5317,mapping_type_dynamic,voteDescription,1,159,1.0
5318,address,yesContract,1,1023,1.0
5319,mapping_type_static,hasVoted,18,1228,1.0
5320,address,noContract,1,1023,1.0
5321,mapping_type_static,numVoters,1,1228,1.0
5322,mapping_type_static,noCount,1,1338,0.9978096670848395
5323,mapping_type_static,voter,3,1228,1.0
5324,mapping_type_static,yesCount,1,1338,0.868469601398616
5325,mapping_type_static,isKYCAdmin,2,1174,0.33793369016535724
5326,mapping_type_static,isFreeInvestor,1,1249,1.0
5327,uint256,totalReceivedEth,13,729,1.0
5328,array_type_static,deadlines,5,-1,0.0
5329,array_type_static,prices,11,-1,0.0
